player_id,player_name,position,team,games_played,mu_pergame_raw,mu_pergame,sigma_own,age,draft_number,basis,sigma_pergame,availability_rate,age_multiplier,team_changed,season_mean,season_median,season_p10,season_p90,expected_games,replacement_rank,vor_mean,vor_p90,draft_score,overall_rank,tier,position_rank,adp,adp_sd,adp_round,value_gap
00-0037228,Jaylen Warren,RB,PIT,16,12.322199181294227,11.011134417092698,5.615421474238006,27.83299110198494,300.0,model+realized+age_prior,6.0528144115585585,0.9052488687782806,0.97,False,147.2795037020223,154.90502649856032,95.87011316182323,189.91547188056387,13.30825,45,35.20638667955568,39.03409418722376,37.31162580877312,55,17,22,64.0,5.5,6,9.0
00-0036613,Jaylen Waddle,WR,DEN,16,12.945074618562412,11.188623743443486,6.871203194007098,27.76728268309377,6.0,model+realized+team_change_prior,8.268707216506549,0.9052488687782806,1.0,True,155.16896204130228,160.32770321790008,103.53756704101811,204.42449637728274,13.60825,45,31.422527032626462,40.514863929255085,36.4233123257722,56,17,20,43.5,5.5,4,-12.5
00-0036912,DeVonta Smith,WR,PHI,17,12.830314047735474,11.511162838315824,7.798698986520312,27.797399041752225,10.0,model+realized,7.802575665262814,0.8818575851393188,1.0,False,155.0775113136386,159.7956245520885,104.98618096582337,204.09736232314384,13.30125,45,31.331076304962792,40.18772987511619,36.20223576854716,57,17,21,28.5,3.1,3,-28.5
00-0039165,Zach Charbonnet,RB,SEA,16,10.733808161789668,10.196491497344358,6.698743663304833,25.645448323066393,52.0,model+realized,6.516244635357269,0.9529124820659971,1.0,False,146.01065024498072,151.77556522268597,100.47434292458422,188.15883517744496,14.19225,45,33.93753322251409,37.27745748410484,35.774491566389,58,17,23,153.5,22.7,13,95.5
00-0039361,Bucky Irving,RB,TB,10,13.803138091636416,11.913328954331583,5.608178551603602,24.035592060232716,125.0,model+realized,6.362346312922587,0.8137478991596638,1.0,False,143.67550075756935,150.0194588156117,91.85520717677225,189.62492151955104,11.98625,45,31.60238373510272,38.743543826210924,35.53002178521223,59,17,24,44.7,5.1,4,-14.299999999999997
00-0036554,Nico Collins,WR,HOU,15,14.295341707667422,12.431977718322488,6.499252704294988,27.45516769336071,89.0,model+realized,7.191503082184256,0.8137478991596638,1.0,False,152.01066151037503,156.84830762952134,102.63449172955225,199.49706924018304,12.22125,45,28.264226501699213,35.58743679215539,32.29199216145011,60,18,22,24.3,3.0,2,-35.7
00-0038134,Kenneth Walker III,RB,KC,17,11.934633104851407,10.996345160176563,6.529632680417518,25.864476386036962,41.0,model+realized+team_change_prior,7.595118796138777,0.8360784313725489,1.0,True,137.37861163993014,142.45271131531925,83.0833997424198,186.61548883260372,12.3445,45,25.30549461746351,35.734111139263604,31.04123370445356,61,19,25,22.7,4.0,2,-38.3
00-0034855,Baker Mayfield,QB,TB,17,16.486793872400934,15.627730736605521,6.243110320232074,31.38398357289528,1.0,model+realized,6.8863283850147425,0.9771428571428571,1.0,False,235.31288966418862,242.43729855024532,194.0527144494859,280.6465942479554,14.99725,15,32.316134692817116,28.865403393779246,30.418232478346287,62,19,10,130.6,11.7,11,68.6
00-0040784,Quinshon Judkins,RB,CLE,14,11.877985356310822,10.943683867064635,6.729662075346105,22.84188911704312,36.0,model+realized,6.701930793785829,0.8440641711229946,1.0,False,137.86721630188174,143.03624397311975,89.45688543035341,183.09234555978324,12.52725,45,25.794099279415107,32.21096786644313,29.32337700228052,63,20,26,47.7,5.5,4,-15.299999999999997
adp:jadarian price,Jadarian Price,RB,SEA,0,10.845073986492787,10.845073986492787,,,,rookie_market_prior,6.8289030804925686,0.85,1.0,False,137.33449620539952,142.19073418148793,86.64674580473282,182.43580210601365,12.6125,45,25.261379182932885,31.55442441267354,28.722554059290246,64,20,27,69.1,8.5,6,5.099999999999994
